@relation fifa_final
@attribute Age integer [17, 37]
@attribute Overall integer [71, 94]
@attribute Potential integer [73, 95]
@attribute Value {Menor_que_5700, Entre_5700_e_8500, Entre_8500_e_11500, Maior_que_11500}
@attribute Special integer [1043, 2346]
@attribute InternationalReputation real [1.0, 5.0]
@attribute WeakFoot real [1.0, 5.0]
@attribute SkillMoves real [1.0, 5.0]
@attribute ContractValidUntil real [2018.0, 2026.0]
@attribute Crossing real [9.0, 93.0]
@attribute Finishing real [5.0, 95.0]
@attribute HeadingAccuracy real [8.0, 93.0]
@attribute ShortPassing real [13.0, 93.0]
@attribute Volleys real [5.0, 90.0]
@attribute Dribbling real [8.0, 97.0]
@attribute Curve real [9.0, 94.0]
@attribute FKAccuracy real [7.0, 94.0]
@attribute LongPassing real [12.0, 93.0]
@attribute BallControl real [11.0, 96.0]
@attribute Acceleration real [29.0, 97.0]
@attribute SprintSpeed real [26.0, 96.0]
@attribute Agility real [21.0, 96.0]
@attribute Reactions real [51.0, 96.0]
@attribute Balance real [22.0, 96.0]
@attribute ShotPower real [12.0, 95.0]
@attribute Jumping real [30.0, 95.0]
@attribute Stamina real [20.0, 96.0]
@attribute Strength real [27.0, 95.0]
@attribute LongShots real [6.0, 94.0]
@attribute Aggression real [11.0, 94.0]
@attribute Interceptions real [7.0, 92.0]
@attribute Positioning real [4.0, 95.0]
@attribute Vision real [11.0, 94.0]
@attribute Penalties real [10.0, 92.0]
@attribute Composure real [25.0, 96.0]
@attribute Marking real [9.0, 94.0]
@attribute StandingTackle real [7.0, 92.0]
@attribute SlidingTackle real [8.0, 91.0]
@attribute GKDiving real [1.0, 90.0]
@attribute GKHandling real [1.0, 92.0]
@attribute GKKicking real [1.0, 91.0]
@attribute GKPositioning real [1.0, 88.0]
@attribute GKReflexes real [1.0, 94.0]
@inputs Age, Overall, Potential, Special, InternationalReputation, WeakFoot, SkillMoves, ContractValidUntil, Crossing, Finishing, HeadingAccuracy, ShortPassing, Volleys, Dribbling, Curve, FKAccuracy, LongPassing, BallControl, Acceleration, SprintSpeed, Agility, Reactions, Balance, ShotPower, Jumping, Stamina, Strength, LongShots, Aggression, Interceptions, Positioning, Vision, Penalties, Composure, Marking, StandingTackle, SlidingTackle, GKDiving, GKHandling, GKKicking, GKPositioning, GKReflexes
@outputs Value
@data
21, 83, 92, Menor_que_5700, 2051, 2.0, 3.0, 4.0, 2023.0, 66.0, 84.0, 74.0, 76.0, 72.0, 86.0, 76.0, 54.0, 66.0, 85.0, 87.0, 85.0, 92.0, 86.0, 91.0, 78.0, 77.0, 84.0, 68.0, 73.0, 73.0, 32.0, 88.0, 77.0, 78.0, 82.0, 53.0, 23.0, 19.0, 13.0, 8.0, 6.0, 6.0, 15.0
35, 77, 77, Menor_que_5700, 1914, 2.0, 2.0, 4.0, 2019.0, 77.0, 76.0, 70.0, 76.0, 72.0, 82.0, 80.0, 64.0, 72.0, 78.0, 68.0, 69.0, 66.0, 78.0, 73.0, 77.0, 54.0, 54.0, 72.0, 74.0, 61.0, 29.0, 81.0, 77.0, 80.0, 80.0, 40.0, 30.0, 28.0, 12.0, 6.0, 11.0, 15.0, 12.0
30, 74, 74, Menor_que_5700, 1823, 1.0, 3.0, 3.0, 2019.0, 74.0, 29.0, 60.0, 74.0, 16.0, 68.0, 64.0, 35.0, 70.0, 74.0, 63.0, 68.0, 67.0, 72.0, 64.0, 58.0, 70.0, 69.0, 73.0, 53.0, 70.0, 76.0, 63.0, 65.0, 40.0, 68.0, 78.0, 78.0, 75.0, 13.0, 12.0, 10.0, 8.0, 14.0
30, 74, 74, Menor_que_5700, 1855, 1.0, 3.0, 2.0, 2019.0, 75.0, 37.0, 64.0, 69.0, 33.0, 75.0, 63.0, 40.0, 52.0, 74.0, 73.0, 77.0, 68.0, 73.0, 61.0, 72.0, 72.0, 85.0, 76.0, 43.0, 74.0, 69.0, 70.0, 58.0, 45.0, 73.0, 68.0, 75.0, 71.0, 12.0, 7.0, 11.0, 7.0, 6.0
30, 74, 74, Menor_que_5700, 1836, 1.0, 3.0, 2.0, 2021.0, 73.0, 45.0, 68.0, 70.0, 41.0, 61.0, 45.0, 46.0, 69.0, 69.0, 71.0, 73.0, 64.0, 72.0, 65.0, 55.0, 64.0, 81.0, 62.0, 52.0, 79.0, 70.0, 51.0, 70.0, 51.0, 68.0, 78.0, 77.0, 71.0, 13.0, 9.0, 1.0, 13.0, 7.0
27, 73, 73, Menor_que_5700, 1966, 1.0, 3.0, 4.0, 2018.0, 51.0, 67.0, 58.0, 82.0, 70.0, 79.0, 72.0, 68.0, 63.0, 78.0, 83.0, 79.0, 86.0, 79.0, 81.0, 75.0, 72.0, 79.0, 68.0, 69.0, 59.0, 50.0, 61.0, 70.0, 61.0, 80.0, 55.0, 55.0, 50.0, 6.0, 8.0, 12.0, 7.0, 13.0
26, 73, 76, Menor_que_5700, 1871, 1.0, 3.0, 3.0, 2019.0, 68.0, 38.0, 57.0, 69.0, 40.0, 68.0, 65.0, 50.0, 66.0, 69.0, 79.0, 82.0, 73.0, 71.0, 70.0, 67.0, 78.0, 78.0, 66.0, 60.0, 73.0, 81.0, 55.0, 53.0, 46.0, 72.0, 60.0, 71.0, 73.0, 10.0, 13.0, 9.0, 5.0, 8.0
26, 73, 76, Menor_que_5700, 1759, 1.0, 3.0, 3.0, 2020.0, 74.0, 38.0, 66.0, 70.0, 20.0, 65.0, 59.0, 41.0, 62.0, 70.0, 74.0, 69.0, 60.0, 74.0, 63.0, 29.0, 62.0, 76.0, 69.0, 22.0, 71.0, 69.0, 67.0, 68.0, 41.0, 63.0, 69.0, 74.0, 71.0, 15.0, 14.0, 14.0, 14.0, 9.0
25, 73, 76, Menor_que_5700, 2022, 2.0, 4.0, 4.0, 2020.0, 71.0, 66.0, 59.0, 72.0, 58.0, 75.0, 70.0, 63.0, 67.0, 74.0, 80.0, 75.0, 81.0, 72.0, 82.0, 66.0, 78.0, 71.0, 62.0, 63.0, 67.0, 71.0, 70.0, 69.0, 66.0, 73.0, 70.0, 74.0, 73.0, 12.0, 9.0, 12.0, 8.0, 16.0
22, 73, 80, Menor_que_5700, 1214, 1.0, 2.0, 1.0, 2020.0, 20.0, 16.0, 21.0, 27.0, 20.0, 21.0, 22.0, 17.0, 23.0, 21.0, 58.0, 58.0, 57.0, 69.0, 57.0, 23.0, 68.0, 43.0, 52.0, 14.0, 22.0, 22.0, 12.0, 20.0, 23.0, 49.0, 23.0, 13.0, 15.0, 76.0, 72.0, 65.0, 69.0, 75.0
